key,value,year
Iceland,69.3,1995
Iceland,67.4,1996
Iceland,69.1,1997
Iceland,70.2,1998
Iceland,74,1999
Iceland,74.5,2000
Iceland,75.6,2001
Iceland,75,2002
Iceland,75.2,2003
Iceland,74.5,2004
Iceland,75.6,2005
Iceland,78.4,2006
Iceland,80.8,2007
Ireland,0.6,1971
Ireland,0.9,1972
Ireland,0.9,1973
Ireland,1,1974
Ireland,0.6,1975
Ireland,0.7,1976
Ireland,0.8,1977
Ireland,0.8,1978
Ireland,0.8,1979
Ireland,0.8,1980
Ireland,0.8,1981
Ireland,0.9,1982
Ireland,0.9,1983
Ireland,0.7,1984
Ireland,0.8,1985
Ireland,0.9,1986
Ireland,0.7,1987
Ireland,0.8,1988
Ireland,0.6,1989
Ireland,1.7,1990
Ireland,1.6,1991
Ireland,1.6,1992
Ireland,1.6,1993
Ireland,1.6,1994
Ireland,1.4,1995
Ireland,1.5,1996
Ireland,1.5,1997
Ireland,1.8,1998
Ireland,1.7,1999
Ireland,1.7,2000
Ireland,1.6,2001
Ireland,1.8,2002
Ireland,1.6,2003
Ireland,2,2004
Ireland,2.5,2005
Ireland,2.9,2006
Ireland,3.1,2007
Italy,5.6,1971
Italy,5.4,1972
Italy,4.7,1973
Italy,5.4,1974
Italy,5.8,1975
Italy,5.2,1976
Italy,6.1,1977
Italy,5.4,1978
Italy,5.3,1979
Italy,5.4,1980
Italy,5.5,1981
Italy,5.5,1982
Italy,5.5,1983
Italy,5.6,1984
Italy,5.2,1985
Italy,5.3,1986
Italy,5.1,1987
Italy,5.2,1988
Italy,4.7,1989
Italy,4.5,1990
Italy,5.1,1991
Italy,5.4,1992
Italy,5.4,1993
Italy,5.7,1994
Italy,5,1995
Italy,5.4,1996
Italy,5.5,1997
Italy,5.6,1998
Italy,6,1999
Italy,6.1,2000
Italy,6.2,2001
Italy,6,2002
Italy,6.3,2003
Italy,7.1,2004
Italy,6.7,2005
Italy,7.3,2006
Italy,7.2,2007
Japan,2.7,1971
Japan,2.6,1972
Japan,1.9,1973
Japan,2.2,1974
Japan,2.4,1975
Japan,2.3,1976
Japan,2,1977
Japan,2,1978
Japan,2.2,1979
Japan,2.4,1980
Japan,2.5,1981
Japan,3.6,1982
Japan,3.7,1983
Japan,3.2,1984
Japan,3.6,1985
Japan,3.5,1986
Japan,3.4,1987
Japan,3.6,1988
Japan,3.5,1989
Japan,3.5,1990
Japan,3.7,1991
Japan,3.3,1992
Japan,3.4,1993
Japan,2.8,1994
Japan,3.3,1995
Japan,3.3,1996
Japan,3.5,1997
Japan,3.5,1998
Japan,3.4,1999
Japan,3.3,2000
Japan,3.3,2001
Japan,3.3,2002
Japan,3.6,2003
Japan,3.5,2004
Japan,3.3,2005
Japan,3.5,2006
Japan,3.4,2007
Korea,0.6,1971
Korea,0.6,1972
Korea,0.5,1973
Korea,0.7,1974
Korea,0.6,1975
Korea,0.6,1976
Korea,0.4,1977
Korea,0.5,1978
Korea,0.5,1979
Korea,0.4,1980
Korea,0.6,1981
Korea,0.4,1982
Korea,0.5,1983
Korea,0.4,1984
Korea,0.6,1985
Korea,0.6,1986
Korea,0.7,1987
Korea,0.4,1988
Korea,0.5,1989
Korea,1.4,1990
Korea,1,1991
Korea,0.9,1992
Korea,0.9,1993
Korea,0.7,1994
Korea,0.8,1995
Korea,0.7,1996
Korea,0.7,1997
Korea,0.9,1998
Korea,0.9,1999
Korea,0.9,2000
Korea,1,2001
Korea,0.9,2002
Korea,1.1,2003
Korea,1.1,2004
Korea,1.2,2005
Korea,1.3,2006
